,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvc__C,param_linearsvc__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.26209368705749514,0.012521008544380192,0.052413320541381835,0.00277313343920648,0.1,l2,"{'linearsvc__C': 0.1, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.5873015873015873,0.5722222222222222,0.669047619047619,0.6666666666666666,0.6628571428571428,0.0876032306864706,6
1,0.2375187873840332,0.0028540758307567635,0.0,0.0,0.1,l1,"{'linearsvc__C': 0.1, 'linearsvc__penalty': 'l1'}",,,,,,,,7
2,0.26844205856323244,0.007122934733562468,0.051855039596557614,0.001829003743839111,0.5,l2,"{'linearsvc__C': 0.5, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.6825396825396824,0.5944444444444444,0.669047619047619,0.5595238095238095,0.6649206349206349,0.08961916569666498,5
3,0.24319748878479003,0.003576188745639248,0.0,0.0,0.5,l1,"{'linearsvc__C': 0.5, 'linearsvc__penalty': 'l1'}",,,,,,,,8
4,0.2848196029663086,0.006234883686802447,0.050934362411499026,0.0015194811614565086,1,l2,"{'linearsvc__C': 1, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.7730158730158729,0.6583333333333333,0.669047619047619,0.5595238095238095,0.6957936507936507,0.09147995139196756,4
5,0.2531752109527588,0.010709817610426853,0.0,0.0,1,l1,"{'linearsvc__C': 1, 'linearsvc__penalty': 'l1'}",,,,,,,,9
6,0.2965859889984131,0.005437587906370277,0.04896855354309082,0.0013651751405653156,3,l2,"{'linearsvc__C': 3, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.7714285714285715,0.6583333333333332,0.669047619047619,0.6666666666666666,0.7169047619047618,0.0658039416004751,1
7,0.24461560249328612,0.006878368318841033,0.0,0.0,3,l1,"{'linearsvc__C': 3, 'linearsvc__penalty': 'l1'}",,,,,,,,10
8,0.32115879058837893,0.006570364753537255,0.05038208961486816,0.0008718588893580821,7,l2,"{'linearsvc__C': 7, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.7714285714285715,0.6003968253968254,0.669047619047619,0.6666666666666666,0.7053174603174603,0.07889607453461507,2
9,0.23910322189331054,0.0030545461277105006,0.0,0.0,7,l1,"{'linearsvc__C': 7, 'linearsvc__penalty': 'l1'}",,,,,,,,11
10,0.31470561027526855,0.00866895135595447,0.047864675521850586,0.0020122951801412824,10,l2,"{'linearsvc__C': 10, 'linearsvc__penalty': 'l2'}",0.8190476190476191,0.7714285714285715,0.6003968253968254,0.669047619047619,0.6666666666666666,0.7053174603174603,0.07889607453461507,2
11,0.23521132469177247,0.009410681669498178,0.0,0.0,10,l1,"{'linearsvc__C': 10, 'linearsvc__penalty': 'l1'}",,,,,,,,12
